Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Subject,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6376a7e680a640de99230c0e,60a280d663834ecd8d6a7e86,APPROVED,2022-11-17T21:30:14.855000Z,2022-11-17T21:40:28.083000Z,2022-11-18T22:09:53.905000,2022-11-17T21:40:28.553203Z,614,CUJVCRTW,269,"Italian, English",Computer Science,Undergraduate degree (BA/BSc/other),23,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
6376a7f04d73021d9fc1e8ea,616d43e7e3dc5a50e58c17c6,APPROVED,2022-11-17T21:30:24.002000Z,2022-11-17T21:35:07.667000Z,2022-11-18T22:09:53.992000,2022-11-17T21:35:08.317492Z,284,CUJVCRTW,77,English,"Chemistry, Mathematics, Physics",Undergraduate degree (BA/BSc/other),25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
6376a7f69ee80c2b1c6aec67,5f3d51a2010cab0be4d6e002,APPROVED,2022-11-17T21:30:30.439000Z,2022-11-17T21:33:23.349000Z,2022-11-18T22:09:54.078000,2022-11-17T21:33:23.822188Z,173,CUJVCRTW,314,"Croatian, English, Serbian",Computer Science,Undergraduate degree (BA/BSc/other),30,Male,White,Bosnia and Herzegovina,Ireland,Bosnia and Herzegovina,Croatian,Yes,Full-Time
6376a80b2c1a1d513e7b637f,6135ce2a32b53777552a46b0,APPROVED,2022-11-17T21:30:51.659000Z,2022-11-17T21:33:01.624000Z,2022-11-18T22:09:54.164000,2022-11-17T21:33:01.945060Z,130,CUJVCRTW,235,"English, Afrikaans","Computer Science, Computing (IT)",Undergraduate degree (BA/BSc/other),19,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6376a8131b9dec4868d2470f,5efa1c514003e68155b99a93,APPROVED,2022-11-17T21:30:59.541000Z,2022-11-17T21:48:56.323000Z,2022-11-18T22:09:54.253000,2022-11-17T21:48:56.782963Z,1077,CUJVCRTW,457,"English, Slovenian","Science, Mathematics, Chemistry",Undergraduate degree (BA/BSc/other),21,Male,White,United Kingdom,Slovenia,United Kingdom,English,Yes,Part-Time
6376a81d551d1abbbd6ced74,60f6acaed2336346c8997195,RETURNED,2022-11-17T21:34:09.006000Z,2022-11-17T21:46:04.749000Z,,2022-11-17T21:46:05.248000Z,,CUJVCRTW,205,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376a858130dac39f3848404,6010556227f86b3444cbe498,APPROVED,2022-11-17T21:32:08.992000Z,2022-11-17T21:33:58.068000Z,2022-11-18T22:09:54.342000,2022-11-17T21:33:58.410247Z,110,CUJVCRTW,127,"Portuguese, English, Spanish",Computer Science,Graduate degree (MA/MSc/MPhil/other),23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6376a85a9666b6256d7ae373,5deed12a828afe583f2db0fb,APPROVED,2022-11-17T21:32:10.016000Z,2022-11-17T21:35:45.667000Z,2022-11-18T22:09:54.431000,2022-11-17T21:35:46.305399Z,216,CUJVCRTW,91,"English, Greek",Computing (IT),Undergraduate degree (BA/BSc/other),31,Male,Other,Greece,Greece,Greece,Greek,Yes,Full-Time
6376a875da092e3f8cdc3dda,614d6d63ffaa9be82c464151,APPROVED,2022-11-17T21:32:51.506000Z,2022-11-17T21:37:34.392000Z,2022-11-18T22:09:54.517000,2022-11-17T21:37:34.707646Z,283,CUJVCRTW,88,English,"Computing (IT), Business",Undergraduate degree (BA/BSc/other),21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6376a882824c28ba55d636e9,61637328a3889169e2a558b3,APPROVED,2022-11-17T21:33:34.642000Z,2022-11-17T21:44:16.722000Z,2022-11-18T22:09:54.607000,2022-11-17T21:44:17.100632Z,643,CUJVCRTW,178,"English, Italian, Spanish","Accounting, Finance, Management, Marketing, Mathematics",Graduate degree (MA/MSc/MPhil/other),25,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
6376a897bef2d65f001aa841,612a98181f4b6d1cf01f926c,APPROVED,2022-11-17T21:33:11.462000Z,2022-11-17T21:59:49.103000Z,2022-11-18T22:09:54.699000,2022-11-17T21:59:50.005699Z,1598,CUJVCRTW,91,"Afrikaans, English",Computer Science,Undergraduate degree (BA/BSc/other),21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6376a89aff5bd039d71aa854,60bdecc23648063db2bb828a,APPROVED,2022-11-17T21:33:14.715000Z,2022-11-17T21:40:09.023000Z,2022-11-18T22:09:54.793000,2022-11-17T21:40:09.382545Z,415,CUJVCRTW,156,"Polish, English",Computing (IT),Undergraduate degree (BA/BSc/other),23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
6376a8a075bae667ac261dbb,5f970bcea113d9067e435f65,APPROVED,2022-11-17T21:33:20.174000Z,2022-11-17T21:35:57.456000Z,2022-11-18T22:09:54.886000,2022-11-17T21:35:57.809393Z,158,CUJVCRTW,169,"English, Italian","Engineering, Computer Science",Undergraduate degree (BA/BSc/other),23,Male,White,Holy See (Vatican City State),Italy,Italy,Italian,Yes,Unemployed (and job seeking)
6376a8ba50600b241b04d5fa,572b96ba3ab9df000dbb4461,APPROVED,2022-11-17T21:33:46.021000Z,2022-11-17T21:36:44.632000Z,2022-11-18T22:09:54.972000,2022-11-17T21:36:45.375726Z,179,CUJVCRTW,375,"English, Italian","Psychology, Computing (IT), Computer Science",Graduate degree (MA/MSc/MPhil/other),43,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
6376a8c5da092e3f8cdc3de4,5b3913051d4b6800016935dc,RETURNED,2022-11-17T21:33:57.785000Z,2022-11-17T21:38:20.281000Z,,2022-11-17T21:38:20.637000Z,,CUJVCRTW,373,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376a8d4414ef0af469d4fab,608c2e566d92c2aa3543e2d2,APPROVED,2022-11-17T21:34:12.571000Z,2022-11-17T21:45:47.857000Z,2022-11-18T22:09:55.061000,2022-11-17T21:45:48.258736Z,696,CUJVCRTW,68,"Portuguese, English","Engineering, Computer Science",Undergraduate degree (BA/BSc/other),21,Male,White,Brazil,Portugal,Brazil,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6376a8e650600b241b04d600,5e010ae14cac68cfeaa8612a,APPROVED,2022-11-17T21:34:30.972000Z,2022-11-17T21:49:38.126000Z,2022-11-18T22:09:55.153000,2022-11-17T21:49:38.474813Z,908,CUJVCRTW,457,"English, Polish, French, German","Accounting, Computing (IT), Languages, Psychology, Travel and Tourism",Graduate degree (MA/MSc/MPhil/other),39,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
6376a8f87bc6f820fe8483ea,60ef4432df04da6821fec20a,APPROVED,2022-11-17T21:34:48.960000Z,2022-11-17T21:40:00.904000Z,2022-11-18T22:09:55.239000,2022-11-17T21:40:01.397414Z,312,CUJVCRTW,203,"Polish, English",Computing (IT),Graduate degree (MA/MSc/MPhil/other),24,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
6376a904c04cc8a56c230c54,5dfb75507caa1e89ad5df828,APPROVED,2022-11-17T21:35:00.105000Z,2022-11-17T21:48:04.902000Z,2022-11-18T22:09:55.328000,2022-11-17T21:48:05.259857Z,785,CUJVCRTW,458,"Portuguese, Spanish, English","Computer Science, Computing (IT)",Graduate degree (MA/MSc/MPhil/other),26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6376a9154962d4fb9203ba15,612deb1afc620da6340eaf4b,APPROVED,2022-11-17T21:36:51.505000Z,2022-11-17T21:42:30.702000Z,2022-11-18T22:09:55.419000,2022-11-17T21:42:31.064360Z,340,CUJVCRTW,122,"Afrikaans, English","Accounting, Economics, Finance, Mathematics",Graduate degree (MA/MSc/MPhil/other),24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
