Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
637809f1ff56c55595315909,5fa09ce3f99e1611b5b1b9d7,RETURNED,2022-11-18T22:40:49.383000Z,2022-11-18T22:43:51.824000Z,,2022-11-18T22:43:53.126000Z,,CUJVCRTW,231,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780a1318134ac60986274d,614d6d63ffaa9be82c464151,AWAITING REVIEW,2022-11-18T22:41:23.180000Z,2022-11-18T22:52:23.588000Z,,2022-11-18T22:52:24.059217Z,661,CUJVCRTW,91,English,Undergraduate degree (BA/BSc/other),"Computing (IT), Business",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63780a169311e9ae0b6aec87,5dfb75507caa1e89ad5df828,AWAITING REVIEW,2022-11-18T22:41:26.940000Z,2022-11-18T22:45:03.039000Z,,2022-11-18T22:45:03.459190Z,217,CUJVCRTW,460,"Portuguese, Spanish, English",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Computing (IT)",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63780a2321e85e824f6097ee,615b622cad37e6586f139c40,AWAITING REVIEW,2022-11-18T22:41:41.547000Z,2022-11-18T22:44:42.355000Z,,2022-11-18T22:44:42.754005Z,181,CUJVCRTW,164,"English, Spanish",Undergraduate degree (BA/BSc/other),Computer Science,34,Male,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
63780a3326c483bc75ee4dd4,5fd9c5c67fa7c74ec42bb318,AWAITING REVIEW,2022-11-18T22:41:55.915000Z,2022-11-18T22:54:27.443000Z,,2022-11-18T22:54:27.762868Z,752,CUJVCRTW,347,"English, Dutch, Polish",Graduate degree (MA/MSc/MPhil/other),Computing (IT),22,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
63780a699b0167101b0024e9,5dc8a97bfb09bd61146b461b,AWAITING REVIEW,2022-11-18T22:42:54.256000Z,2022-11-18T22:51:47.949000Z,,2022-11-18T22:51:48.305726Z,534,CUJVCRTW,19,"English, Greek",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Materials Science",29,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
63780ad71b350664767b6369,6009606726f80266d809bf9a,AWAITING REVIEW,2022-11-18T22:44:45.766000Z,2022-11-18T23:00:46.792000Z,,2022-11-18T23:00:47.401634Z,962,CUJVCRTW,252,English,Undergraduate degree (BA/BSc/other),"Chemistry, Computer Science, Mathematics",23,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking)
63780b0a15fab4f07b8b31af,5d02ed8f7a3c0f0015cd3230,AWAITING REVIEW,2022-11-18T22:45:30.235000Z,2022-11-18T22:47:04.658000Z,,2022-11-18T22:47:05.055476Z,95,CUJVCRTW,568,"Spanish, English, German, Galician, Portuguese",Undergraduate degree (BA/BSc/other),"Computing (IT), Computer Science, Engineering, Mathematics",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780b1af912548db34915c7,5f18a80367ef6b0bbc5f3720,RETURNED,2022-11-18T22:45:48.243000Z,2022-11-18T22:48:18.153000Z,,2022-11-18T22:48:18.475000Z,,CUJVCRTW,266,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780b3ecf804c918844c06a,614b55e22ff3944a165736bb,AWAITING REVIEW,2022-11-18T22:46:36.314000Z,2022-11-18T22:52:00.114000Z,,2022-11-18T22:52:00.435252Z,324,CUJVCRTW,242,"Portuguese, English",Undergraduate degree (BA/BSc/other),Computing (IT),21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780b58d679a48acd44c05b,60e12640be1b69b66053d55b,AWAITING REVIEW,2022-11-18T22:46:48.741000Z,2022-11-18T23:06:24.183000Z,,2022-11-18T23:06:24.522185Z,1176,CUJVCRTW,130,"Portuguese, English",Undergraduate degree (BA/BSc/other),"Biology, Chemistry, Computing (IT), Genetics, Mathematics",20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780b5d5d122ab67f230c4d,60252b168d445b2c7efd6c32,AWAITING REVIEW,2022-11-18T22:46:53.492000Z,2022-11-18T22:50:28.895000Z,,2022-11-18T22:50:29.302399Z,216,CUJVCRTW,241,"Spanish, Portuguese, French, English",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Engineering, Computing (IT)",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780b610d33327bb584c6f4,60d6820831fa8933c1087ab2,AWAITING REVIEW,2022-11-18T22:46:57.347000Z,2022-11-18T22:49:08.659000Z,,2022-11-18T22:49:08.994573Z,132,CUJVCRTW,108,"Portuguese, Spanish, English",Undergraduate degree (BA/BSc/other),"Politics, Computer Science",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780b8aa2daf793787b6381,62e02378e435c43cd2fc5dd3,AWAITING REVIEW,2022-11-18T22:48:06.365000Z,2022-11-18T22:50:45.748000Z,,2022-11-18T22:50:46.168909Z,160,CUJVCRTW,102,"Bengali, English",Undergraduate degree (BA/BSc/other),Computer Science,27,Female,Asian,Bangladesh,Germany,Bangladesh,Bengali,Yes,Part-Time
63780b9ce6538c569fee4df7,5f034d2b2e1a9e51dac2d819,AWAITING REVIEW,2022-11-18T22:48:19.012000Z,2022-11-18T22:51:41.153000Z,,2022-11-18T22:51:41.530323Z,203,CUJVCRTW,196,"English, Portuguese, Spanish",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Computing (IT)",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780ba57bb9b7d996423b2c,605e9924e4020478378555d4,AWAITING REVIEW,2022-11-18T22:54:20.076000Z,2022-11-18T23:10:03.742000Z,,2022-11-18T23:10:04.053077Z,944,CUJVCRTW,23,"English, Polish",Graduate degree (MA/MSc/MPhil/other),Computer Science,26,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
63780bc4d83fa8a58c7a922e,5fbec7b24a44350e8ce3cfd5,AWAITING REVIEW,2022-11-18T22:48:38.815000Z,2022-11-18T22:49:58.052000Z,,2022-11-18T22:49:58.426114Z,80,CUJVCRTW,31,"Portuguese, English",Undergraduate degree (BA/BSc/other),"Computer Science, Engineering",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780be8c5b107a752491577,6340383af4238833a34cea4e,AWAITING REVIEW,2022-11-18T22:49:12.034000Z,2022-11-18T23:01:07.221000Z,,2022-11-18T23:01:07.671415Z,716,CUJVCRTW,25,"English, Turkish",Undergraduate degree (BA/BSc/other),Computer Science,23,Male,Other,Turkey,Germany,Turkey,English,Yes,Part-Time
63780c12f41a40b7a8a1cd37,5f63bfde15806b111703d6f9,AWAITING REVIEW,2022-11-18T22:50:05.508000Z,2022-11-18T23:04:48.474000Z,,2022-11-18T23:04:48.848410Z,883,CUJVCRTW,109,"Polish, English",Undergraduate degree (BA/BSc/other),"Finance, Business, English Language, Mathematics, Marketing",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
